timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635341401234, 15.02, 100, XASE, 15.13, 2800, XNAS, 15.12, 100, XNAS, 8132, 122635, 15.0805, 200, 2, 2800, 1, 0, 1, 0, 1, 0, 0
1635341401234, 15.02, 100, XASE, 15.13, 100, XNAS, 15.13, 2700, XNAS, 10832, 163486, 15.0928, 200, 2, 100, 1, 0, 0, 0, 1, 0, 0
1635341401249, 15.02, 100, XASE, 15.13, 100, XNAS, 15.08, 314, XADF, 11146, 168221, 15.0925, 200, 2, 100, 1, 0, 1, 0, 1, 0, 0
1635341401351, 15.01, 100, ARCX, 15.13, 100, XNAS, 15.02, 75, XADF, 11221, 169347, 15.092, 200, 2, 100, 1, 1, 1, 0, 0, 1, 0
1635341401755, 15.01, 100, ARCX, 15.35, 100, ARCX, 15.12, 100, XNAS, 11321, 170859, 15.0922, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341401755, 15.01, 100, ARCX, 15.35, 100, ARCX, 15.13, 100, XNAS, 11421, 172372, 15.0926, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341401755, 15.01, 100, ARCX, 15.35, 100, ARCX, 15.12, 100, XPSX, 11521, 173884, 15.0928, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341401755, 15.01, 100, ARCX, 15.35, 100, ARCX, 15.12, 100, XBOS, 11621, 175396, 15.093, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341402777, 15.01, 100, ARCX, 15.11, 300, XNAS, 15.09, 1, XADF, 11716, 176829, 15.0929, 200, 2, 300, 1, 1, 1, 0, 1, 0, 0
1635341404807, 15.01, 100, ARCX, 15.11, 300, XNAS, 15.08, 250, XADF, 12024, 181470, 15.0923, 100, 1, 400, 2, 0, 1, 0, 1, 0, 0
1635341407529, 15.01, 100, ARCX, 15.11, 300, XNAS, 15.08, 6, XADF, 12032, 181591, 15.0923, 100, 1, 400, 2, 1, 1, 0, 1, 0, 0
1635341426974, 15.02, 100, XNAS, 15.11, 100, MEMX, 15.1, 50, XNAS, 12082, 182346, 15.0923, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341426974, 15.02, 100, XNAS, 15.11, 100, MEMX, 15.11, 250, XNAS, 12332, 186123, 15.0927, 100, 1, 100, 1, 0, 1, 0, 1, 0, 0
1635341435365, 15.02, 100, XNAS, 15.11, 100, MEMX, 15.11, 33, EDGA, 12365, 186622, 15.0927, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341469564, 15.03, 200, XNAS, 15.11, 100, MEMX, 15.09, 100, XADF, 12465, 188131, 15.0927, 200, 1, 100, 1, 0, 1, 0, 1, 0, 0
1635341469565, 15.03, 200, XNAS, 15.11, 100, MEMX, 15.09, 100, XADF, 12565, 189640, 15.0927, 200, 1, 200, 2, 0, 1, 0, 1, 0, 0
1635341469566, 15.03, 200, XNAS, 15.11, 100, MEMX, 15.1, 17, XNAS, 12582, 189896, 15.0927, 200, 1, 200, 2, 1, 0, 0, 1, 0, 0
1635341474553, 15.03, 200, XNAS, 15.11, 100, MEMX, 15.11, 74, XADF, 12656, 191015, 15.0928, 200, 1, 200, 2, 1, 1, 0, 1, 0, 0
1635341523418, 15.04, 200, XNAS, 15.11, 100, IEXG, 15.08, 1, XNAS, 12657, 191030, 15.0928, 300, 2, 200, 2, 1, 0, 0, 1, 0, 0
1635341523419, 15.06, 100, XNAS, 15.11, 100, MEMX, 15.11, 16, MEMX, 12673, 191271, 15.0928, 200, 2, 200, 2, 1, 0, 0, 1, 0, 0
1635341523554, 15.05, 100, IEXG, 15.11, 100, MEMX, 15.11, 50, XNAS, 12723, 192027, 15.0929, 200, 2, 200, 2, 1, 0, 0, 1, 0, 0
1635341523554, 15.05, 100, IEXG, 15.11, 100, MEMX, 15.11, 1, XNAS, 12724, 192042, 15.0929, 200, 2, 200, 2, 1, 0, 0, 1, 0, 0
1635341523554, 15.05, 100, IEXG, 15.11, 100, MEMX, 15.11, 51, XNAS, 12775, 192813, 15.093, 200, 2, 200, 2, 1, 0, 0, 1, 0, 0
1635341523554, 15.08, 100, XNAS, 15.14, 100, XNAS, 15.11, 100, BATS, 12919, 194989, 15.0932, 100, 1, 100, 1, 0, 1, 1, 0, 0, 0
1635341523554, 15.09, 100, XNAS, 15.16, 100, XCHI, 15.11, 49, XNAS, 12968, 195729, 15.0932, 100, 1, 400, 4, 1, 0, 0, 0, 1, 0
1635341523554, 15.09, 100, XNAS, 15.16, 100, XCHI, 15.11, 40, MEMX, 13008, 196333, 15.0933, 100, 1, 400, 4, 1, 0, 0, 0, 1, 0
1635341523554, 15.09, 100, XNAS, 15.16, 100, XCHI, 15.11, 25, MEMX, 13033, 196711, 15.0933, 100, 1, 400, 4, 1, 0, 0, 0, 1, 0
1635341523555, 15.09, 100, XNAS, 15.16, 100, XCHI, 15.12, 18, ARCX, 13051, 196983, 15.0933, 200, 2, 400, 4, 1, 0, 0, 0, 1, 0
1635341523555, 15.09, 100, XNAS, 15.16, 100, XCHI, 15.12, 18, ARCX, 13051, 196983, 15.0933, 200, 2, 400, 4, 1, 0, 0, 0, 1, 0
1635341523555, 15.09, 300, IEXG, 15.16, 100, XCHI, 15.11, 41, XNAS, 13092, 197603, 15.0934, 500, 3, 400, 4, 1, 0, 0, 0, 1, 0
1635341523555, 15.09, 300, IEXG, 15.16, 100, XCHI, 15.11, 50, XNAS, 13142, 198358, 15.0935, 500, 3, 400, 4, 1, 0, 0, 0, 1, 0
