timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635341401287, 505.01, 100, IEXG, 523.08, 200, XNAS, 517.77, 2, XADF, 1397, 723325, 517.77, 100, 1, 200, 1, 1, 1, 0, 1, 0, 0
1635341401368, 505.01, 100, IEXG, 523.08, 200, XNAS, 517.77, 6, XADF, 1403, 726431, 517.77, 100, 1, 200, 1, 1, 1, 0, 1, 0, 0
1635341401412, 505.01, 100, IEXG, 523.08, 200, XNAS, 515.37, 5, XNAS, 1408, 729008, 517.761, 100, 1, 200, 1, 1, 0, 0, 1, 0, 0
1635341402457, 512.26, 100, XASE, 521.1, 100, XASE, 514.54, 49, XNAS, 1460, 755774, 517.653, 200, 2, 200, 2, 1, 0, 0, 0, 1, 0
1635341402457, 512.26, 100, XASE, 521.1, 100, XASE, 514.53, 33, IEXG, 1493, 772753, 517.584, 200, 2, 200, 2, 1, 0, 0, 0, 1, 0
1635341402547, 512.26, 100, XASE, 521.1, 100, XASE, 514.53, 1, XNAS, 1494, 773268, 517.582, 200, 2, 200, 2, 1, 0, 0, 0, 1, 0
1635341402548, 512.26, 100, XASE, 521.1, 100, XASE, 513.43, 1, XNAS, 1495, 773781, 517.58, 200, 2, 200, 2, 1, 0, 0, 0, 1, 0
1635341402549, 512.26, 100, XASE, 521.1, 100, XASE, 512.77, 98, XNAS, 1593, 824033, 517.284, 200, 2, 200, 2, 1, 0, 0, 0, 1, 0
1635341403323, 511.42, 100, IEXG, 521.1, 100, XNYS, 518.83, 10, XADF, 1603, 829221, 517.293, 100, 1, 200, 2, 1, 1, 0, 1, 0, 0
1635341404603, 511.42, 100, IEXG, 521.1, 100, XNYS, 515.93, 1, XADF, 1604, 829737, 517.292, 100, 1, 200, 2, 1, 1, 0, 0, 1, 0
1635341406682, 511.89, 100, XCIS, 519.44, 100, XCIS, 517.61, 43, XNAS, 1650, 853539, 517.297, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341406994, 511.89, 100, XCIS, 519.44, 100, XCIS, 517.77, 9, XADF, 1659, 858199, 517.299, 100, 1, 100, 1, 1, 1, 0, 1, 0, 0
1635341412348, 511.42, 100, IEXG, 521.1, 100, XNYS, 517.77, 1, XADF, 1661, 859229, 517.296, 100, 1, 300, 3, 1, 1, 0, 1, 0, 0
1635341414539, 511.42, 100, IEXG, 521.1, 100, XNYS, 518.63, 1, XNAS, 1663, 860268, 517.299, 100, 1, 400, 4, 1, 0, 0, 1, 0, 0
1635341414563, 511.89, 100, XCIS, 521.1, 100, XNYS, 521.099, 1, XADF, 1664, 860789, 517.301, 100, 1, 400, 4, 1, 1, 0, 1, 0, 0
1635341431412, 510.27, 100, IEXG, 519, 100, EDGA, 514.635, 33, XADF, 1697, 877772, 517.249, 100, 1, 800, 8, 1, 1, 1, 0, 0, 0
1635341476005, 512.51, 100, XNAS, 518.99, 100, XNAS, 513.35, 1, XNAS, 1703, 880890, 517.258, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341478429, 512.51, 100, XNAS, 518.98, 200, XCHI, 512.51, 2, XADF, 1705, 881915, 517.252, 100, 1, 500, 3, 1, 1, 0, 0, 1, 0
1635341512963, 512.51, 100, XNAS, 518.97, 200, XCHI, 515.74, 16, XADF, 1721, 890166, 517.238, 100, 1, 500, 3, 1, 1, 1, 0, 0, 0
1635341535383, 512.51, 100, XNAS, 518.96, 200, IEXG, 518.28, 4, XADF, 1725, 892240, 517.24, 100, 1, 300, 2, 1, 1, 0, 1, 0, 0
1635341632599, 512.51, 100, XNAS, 518.96, 200, IEXG, 517.72, 38, XADF, 1763, 911913, 517.251, 100, 1, 300, 2, 1, 1, 0, 1, 0, 0
1635341632603, 512.52, 100, XPSX, 518.96, 200, IEXG, 512.52, 100, XADF, 1863, 963165, 516.997, 100, 1, 300, 2, 0, 1, 0, 0, 1, 0
1635341632606, 512.52, 100, XPSX, 518.95, 100, XPSX, 512.52, 2, XADF, 1865, 964190, 516.992, 100, 1, 100, 1, 1, 1, 0, 0, 1, 0
1635341634845, 512.51, 100, XNAS, 518.95, 200, IEXG, 518.95, 1, XADF, 1866, 964709, 516.993, 100, 1, 400, 3, 1, 1, 0, 1, 0, 0
1635341690127, 512.52, 100, XNAS, 517.8, 200, XCHI, 515.16, 1, XADF, 1867, 965224, 516.992, 100, 1, 1000, 8, 1, 1, 1, 0, 0, 0
1635341692364, 512.52, 100, XNAS, 517.79, 200, XCHI, 515.155, 1, XADF, 1868, 965739, 516.991, 100, 1, 500, 3, 1, 1, 1, 0, 0, 0
1635341708625, 512.52, 100, XNAS, 517.78, 200, XCHI, 514.357, 10, XADF, 1878, 970883, 516.977, 100, 1, 500, 3, 1, 1, 0, 0, 1, 0
1635341720148, 512.52, 100, XNAS, 517.78, 200, XCHI, 512.52, 1, XADF, 1879, 971395, 516.975, 100, 1, 500, 3, 1, 1, 0, 0, 1, 0
1635341735852, 512.54, 100, XNAS, 517.77, 200, XCHI, 514.93, 2, BATY, 1881, 972425, 516.972, 100, 1, 500, 3, 1, 0, 0, 0, 1, 0
1635341784760, 512.76, 100, XNAS, 517.76, 200, XCHI, 512.76, 2, XADF, 1883, 973451, 516.968, 100, 1, 600, 3, 1, 1, 0, 0, 1, 0
1635341792515, 512.76, 100, XNAS, 517.75, 200, XCHI, 517.75, 1, XCIS, 1884, 973968, 516.968, 100, 1, 500, 3, 1, 0, 0, 1, 0, 0
1635341826261, 513.38, 100, XNAS, 517.75, 200, IEXG, 515.565, 1, IEXG, 1885, 974484, 516.968, 100, 1, 500, 3, 1, 0, 1, 0, 0, 0
1635341926386, 513.8, 100, XNAS, 517.75, 300, XNAS, 515.815, 55, XADF, 1940, 1.00285e+06, 516.935, 100, 1, 700, 3, 1, 1, 0, 1, 0, 0
1635341953785, 513.39, 100, XNAS, 517.48, 300, XNAS, 513.92, 85, XNAS, 2025, 1.04654e+06, 516.808, 100, 1, 700, 3, 1, 0, 0, 0, 1, 0
1635341953785, 513.39, 100, XNAS, 517.47, 100, XPSX, 513.92, 12, BATS, 2037, 1.0527e+06, 516.791, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341953785, 513.39, 100, XNAS, 517.47, 100, XPSX, 513.84, 3, ARCX, 2040, 1.05425e+06, 516.787, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341953786, 513.39, 100, XNAS, 517.47, 100, XPSX, 513.84, 3, ARCX, 2040, 1.05425e+06, 516.787, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341961167, 512.5, 200, XCHI, 517.47, 200, IEXG, 514.985, 1, XADF, 2041, 1.05476e+06, 516.786, 300, 2, 500, 3, 1, 1, 1, 0, 0, 0
1635341979126, 512.51, 200, XCHI, 517.46, 200, XCHI, 513.54, 2, XNAS, 2043, 1.05579e+06, 516.783, 200, 1, 500, 3, 1, 0, 0, 0, 1, 0
1635341979126, 512.51, 200, XCHI, 517.46, 200, XCHI, 513.5, 2, XNAS, 2045, 1.05681e+06, 516.78, 200, 1, 500, 3, 1, 0, 0, 0, 1, 0
1635341979126, 512.51, 200, XCHI, 517.46, 200, XCHI, 513.5, 2, XNAS, 2047, 1.05784e+06, 516.777, 200, 1, 500, 3, 1, 0, 0, 0, 1, 0
1635341979127, 512.51, 200, XCHI, 517.45, 100, XPSX, 513.49, 2, BATS, 2049, 1.05887e+06, 516.773, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341979127, 512.51, 200, XCHI, 517.45, 100, XPSX, 513.5, 10, XNAS, 2059, 1.064e+06, 516.757, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341979127, 512.51, 200, XCHI, 517.45, 100, XPSX, 513.49, 4, BATS, 2063, 1.06606e+06, 516.751, 200, 1, 100, 1, 1, 0, 0, 0, 1, 0
