timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635341400520, 96.94, 100, XNAS, 99.34, 100, XCHI, 97.23, 37, XNAS, 3371, 327459, 97.1399, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341400521, 96.94, 100, XNAS, 97.46, 100, XNAS, 97.08, 30, XADF, 3401, 330371, 97.1394, 100, 1, 100, 1, 1, 1, 0, 0, 1, 0
1635341400521, 96.94, 100, XNAS, 97.46, 100, XNAS, 97.08, 130, XADF, 3531, 342991, 97.1372, 100, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341400534, 96.94, 100, XNAS, 97.46, 100, XNAS, 97.46, 5, XADF, 3536, 343479, 97.1376, 100, 1, 100, 1, 1, 1, 0, 1, 0, 0
1635341400555, 97, 100, XNAS, 97.46, 100, XNAS, 97.34, 18, XNAS, 3554, 345231, 97.1387, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341400555, 97, 100, XNAS, 97.46, 100, XNAS, 97.34, 2, XNAS, 3556, 345426, 97.1388, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341401467, 97, 100, XNAS, 97.46, 100, XNAS, 97.45, 100, XNAS, 4300, 417692, 97.1376, 100, 1, 100, 1, 0, 1, 0, 1, 0, 0
1635341401468, 97, 100, XNAS, 97.82, 100, XNAS, 97.46, 25, XNAS, 4325, 420128, 97.1394, 100, 1, 100, 1, 1, 0, 0, 1, 0, 0
1635341401701, 97.3, 100, EDGX, 98, 100, XNAS, 97.46, 75, XNAS, 4400, 427438, 97.1449, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341401701, 97.3, 100, EDGX, 98, 100, XNAS, 97.47, 10, XNAS, 4410, 428412, 97.1456, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341402321, 97.3, 100, EDGX, 98.2, 100, XNYS, 97.46, 1, XNAS, 4411, 428510, 97.1457, 100, 1, 200, 2, 1, 0, 0, 0, 1, 0
1635341402964, 97.3, 100, EDGX, 98.49, 100, XNAS, 97.45, 100, EDGX, 4511, 438255, 97.1525, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341402964, 97.3, 100, EDGX, 98.49, 100, XNAS, 97.44, 100, IEXG, 4611, 447999, 97.1587, 200, 2, 100, 1, 0, 1, 0, 0, 1, 0
1635341402964, 97.3, 100, EDGX, 98.49, 100, XNAS, 97.37, 33, IEXG, 4644, 451212, 97.1602, 200, 2, 100, 1, 1, 0, 0, 0, 1, 0
1635341402990, 97.3, 100, EDGX, 98.49, 100, XNAS, 97.8516, 50, XADF, 4694, 456105, 97.1676, 200, 2, 100, 1, 1, 1, 0, 0, 1, 0
1635341403726, 97.3, 100, EDGX, 98.48, 100, XPSX, 97.445, 13, XADF, 4707, 457371, 97.1683, 200, 2, 100, 1, 1, 1, 0, 0, 1, 0
1635341403727, 97.3, 100, EDGX, 98.48, 100, XPSX, 97.895, 13, XADF, 4720, 458644, 97.1703, 200, 2, 100, 1, 1, 1, 0, 1, 0, 0
1635341403931, 97.3, 100, EDGX, 98.49, 100, XNAS, 98.19, 200, XADF, 4920, 478282, 97.2118, 200, 2, 100, 1, 0, 1, 0, 1, 0, 0
