timestamp, bid_price, bid_size, bid_exchange, ask_price, ask_size, ask_exchange, trade_price, trade_size, trade_exchange, volume, notional_volume, vwap, nbb_agg_size, nbb_no_of_exchange, nbo_agg_size, nbo_no_of_exchange, is_odd_lot, is_hidden_order, is_mid_order, is_buy_order, is_sell_order, is_trade_through 
1635341400386, 4.35, 200, XNAS, 4.49, 100, EDGX, 4.45, 200, XNAS, 13692, 61334.2, 4.47956, 500, 3, 200, 2, 0, 1, 0, 1, 0, 0
1635341400386, 4.35, 200, XNAS, 4.49, 100, EDGX, 4.45, 417, XNAS, 14109, 63189.8, 4.47869, 500, 3, 200, 2, 0, 1, 0, 1, 0, 0
1635341400386, 4.35, 200, XNAS, 4.49, 100, EDGX, 4.45, 558, XNAS, 14667, 65672.9, 4.4776, 500, 3, 200, 2, 0, 1, 0, 1, 0, 0
1635341400386, 4.35, 200, XNAS, 4.49, 100, EDGX, 4.45, 25, XNAS, 14692, 65784.2, 4.47755, 500, 3, 200, 2, 1, 0, 0, 1, 0, 0
1635341400389, 4.4, 1000, XNAS, 4.49, 100, EDGX, 4.48, 447, XADF, 15139, 67786.7, 4.47762, 1000, 1, 200, 2, 0, 1, 0, 1, 0, 0
1635341400389, 4.4, 1000, XNAS, 4.49, 100, EDGX, 4.48, 2262, XADF, 17401, 77920.5, 4.47793, 1000, 1, 200, 2, 0, 1, 0, 1, 0, 0
1635341400580, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.48, 25, XADF, 17426, 78032.5, 4.47793, 1000, 1, 400, 3, 1, 1, 0, 1, 0, 0
1635341400584, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.48, 7, XADF, 17433, 78063.8, 4.47793, 1000, 1, 400, 3, 1, 1, 0, 1, 0, 0
1635341400720, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.4, 150, XADF, 17583, 78723.8, 4.47727, 1000, 1, 400, 3, 0, 1, 0, 0, 1, 0
1635341403010, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.46, 20, XNAS, 17603, 78813, 4.47725, 1000, 1, 300, 2, 1, 0, 0, 1, 0, 0
1635341403658, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.48, 500, XADF, 18103, 81053, 4.47733, 1000, 1, 300, 2, 0, 1, 0, 1, 0, 0
1635341404134, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.48, 40, XADF, 18143, 81232.2, 4.47733, 1000, 1, 300, 2, 1, 1, 0, 1, 0, 0
1635341404169, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.48, 343, XADF, 18486, 82768.9, 4.47738, 1000, 1, 300, 2, 0, 1, 0, 1, 0, 0
1635341408813, 4.4, 1000, XNAS, 4.49, 200, XNAS, 4.445, 100, EDGX, 19165, 85807.3, 4.47729, 1000, 1, 300, 2, 0, 1, 1, 0, 0, 0
1635341418347, 4.4, 800, XNAS, 4.48, 100, BATS, 4.41, 20, XNAS, 19185, 85895.5, 4.47722, 800, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341418347, 4.4, 800, XNAS, 4.48, 100, BATS, 4.4, 12, XNAS, 19197, 85948.3, 4.47717, 800, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341418347, 4.4, 800, XNAS, 4.48, 100, BATS, 4.4, 168, XNAS, 19365, 86687.5, 4.4765, 800, 1, 100, 1, 0, 0, 0, 0, 1, 0
1635341433074, 4.4, 800, XNAS, 4.48, 100, BATS, 4.44, 20, XADF, 19385, 86776.3, 4.47647, 800, 1, 100, 1, 1, 1, 1, 0, 0, 0
1635341465369, 4.4, 800, XNAS, 4.48, 100, BATS, 4.44, 1, XADF, 19386, 86780.7, 4.47646, 800, 1, 100, 1, 1, 1, 1, 0, 0, 0
1635341543964, 4.4, 800, XNAS, 4.48, 100, BATS, 4.4194, 575, XADF, 19961, 89321.9, 4.47482, 800, 1, 100, 1, 0, 1, 0, 0, 1, 0
1635341553647, 4.4, 800, XNAS, 4.47, 100, EDGX, 4.4506, 446, XADF, 20407, 91306.8, 4.47429, 800, 1, 200, 2, 0, 1, 0, 1, 0, 0
1635341553653, 4.41, 300, XPSX, 4.47, 100, EDGX, 4.44, 4, XADF, 20411, 91324.6, 4.47428, 300, 1, 200, 2, 1, 1, 1, 0, 0, 0
1635341553663, 4.41, 300, XPSX, 4.47, 100, EDGX, 4.41, 1, XADF, 20412, 91329, 4.47428, 300, 1, 200, 2, 1, 1, 0, 0, 1, 0
1635341558943, 4.4, 800, XNAS, 4.47, 100, EDGX, 4.45, 100, XADF, 20515, 91787.3, 4.47416, 800, 1, 200, 2, 0, 1, 0, 1, 0, 0
1635341601084, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.4, 100, XNAS, 20615, 92227.3, 4.4738, 700, 1, 600, 3, 0, 0, 0, 0, 1, 0
1635341648893, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.43, 5, XADF, 20620, 92249.5, 4.47379, 700, 1, 600, 3, 1, 1, 1, 0, 0, 0
1635341670327, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.45, 100, EDGX, 20721, 92698.9, 4.47367, 700, 1, 600, 3, 0, 1, 0, 1, 0, 0
1635341670327, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.46, 100, EDGX, 20821, 93144.9, 4.4736, 700, 1, 600, 3, 0, 0, 0, 1, 0, 0
1635341670327, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.46, 1000, EDGX, 21821, 97604.9, 4.47298, 700, 1, 600, 3, 0, 0, 0, 1, 0, 0
1635341670327, 4.4, 700, XNAS, 4.46, 400, XNAS, 4.46, 4075, EDGX, 25896, 115779, 4.47094, 700, 1, 500, 2, 0, 1, 0, 1, 0, 0
1635341670331, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.4599, 100, XADF, 25996, 116225, 4.4709, 300, 1, 500, 2, 0, 1, 0, 1, 0, 0
1635341670332, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.4599, 100, XADF, 26096, 116671, 4.47085, 300, 1, 500, 2, 0, 1, 0, 1, 0, 0
1635341670332, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.4599, 100, XADF, 26196, 117117, 4.47081, 300, 1, 500, 2, 0, 1, 0, 1, 0, 0
1635341670334, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.45, 20, ARCX, 26216, 117206, 4.4708, 300, 1, 400, 1, 1, 0, 0, 1, 0, 0
1635341670334, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.45, 20, ARCX, 26216, 117206, 4.4708, 300, 1, 400, 1, 1, 0, 0, 1, 0, 0
1635341670334, 4.41, 300, XPSX, 4.46, 400, XNAS, 4.46, 5, ARCX, 26221, 117229, 4.47079, 300, 1, 400, 1, 1, 0, 0, 1, 0, 0
1635341670337, 4.42, 100, BATY, 4.46, 400, XNAS, 4.46, 4400, XADF, 30621, 136853, 4.46924, 300, 3, 400, 1, 0, 1, 0, 1, 0, 0
1635341680268, 4.44, 100, XNAS, 4.46, 100, XNAS, 4.46, 300, XNAS, 30921, 138191, 4.46915, 100, 1, 100, 1, 0, 0, 0, 1, 0, 0
1635341680268, 4.44, 100, XNAS, 4.49, 100, EDGX, 4.46, 100, XNAS, 31021, 138637, 4.46912, 100, 1, 200, 2, 0, 1, 0, 0, 1, 0
1635341680268, 4.44, 100, XNAS, 4.49, 100, EDGX, 4.46, 25, XNAS, 31046, 138748, 4.46912, 100, 1, 100, 1, 1, 0, 0, 0, 1, 0
1635341680268, 4.44, 100, XNAS, 4.49, 100, EDGX, 4.49, 100, BATS, 31146, 139197, 4.46918, 100, 1, 100, 1, 0, 1, 0, 1, 0, 0
1635341680268, 4.44, 100, XNAS, 4.49, 100, EDGX, 4.49, 100, EDGX, 31246, 139646, 4.46925, 100, 1, 100, 1, 0, 0, 0, 1, 0, 0
1635341680268, 4.4, 800, XNAS, 4.49, 100, EDGX, 4.44, 73, XNAS, 31319, 139970, 4.46918, 1200, 2, 100, 1, 1, 0, 0, 0, 1, 0
1635341680268, 4.44, 300, BATS, 4.48, 300, XPSX, 4.45, 300, XNAS, 31619, 141305, 4.469, 400, 2, 300, 1, 0, 1, 0, 0, 1, 0
1635341680268, 4.44, 400, BATS, 4.48, 300, XPSX, 4.44, 74, EDGX, 31693, 141634, 4.46893, 400, 1, 300, 1, 1, 0, 0, 0, 1, 0
1635341680268, 4.44, 400, BATS, 4.48, 300, XPSX, 4.44, 100, EDGX, 31793, 142078, 4.46884, 400, 1, 400, 2, 0, 1, 0, 0, 1, 0
1635341680268, 4.44, 400, BATS, 4.48, 300, XPSX, 4.44, 58, BATY, 31851, 142335, 4.46879, 400, 1, 500, 2, 1, 0, 0, 0, 1, 0
1635341680268, 4.44, 400, BATS, 4.48, 500, XNAS, 4.44, 83, MEMX, 31934, 142704, 4.46871, 400, 1, 800, 2, 1, 0, 0, 0, 1, 0
1635341680268, 4.44, 300, BATS, 4.47, 500, XNAS, 4.45, 29, BATS, 31963, 142833, 4.4687, 300, 1, 600, 2, 1, 0, 0, 0, 1, 0
1635341680268, 4.45, 100, MEMX, 4.47, 400, XNAS, 4.46, 95, ARCX, 32058, 143257, 4.46867, 100, 1, 600, 3, 1, 0, 1, 0, 0, 0
1635341680268, 4.45, 100, MEMX, 4.47, 400, XNAS, 4.46, 1, ARCX, 32059, 143261, 4.46867, 100, 1, 600, 3, 1, 0, 1, 0, 0, 0
1635341680268, 4.45, 100, BATS, 4.47, 400, XNAS, 4.47, 1, IEXG, 32060, 143266, 4.46867, 200, 2, 600, 3, 1, 0, 0, 1, 0, 0
1635341680268, 4.45, 100, BATS, 4.47, 400, XNAS, 4.44, 137, ARCX, 32197, 143874, 4.46855, 100, 1, 500, 2, 0, 1, 0, 0, 1, 1
1635341680268, 4.45, 100, XNYS, 4.47, 400, XNAS, 4.45, 100, ARCX, 32297, 144319, 4.46849, 300, 3, 1000, 3, 0, 0, 0, 0, 1, 0
1635341680268, 4.45, 100, XNYS, 4.47, 500, XNAS, 4.45, 100, XNYS, 32397, 144764, 4.46843, 200, 2, 1100, 3, 0, 0, 0, 0, 1, 0
1635341680268, 4.45, 100, BATS, 4.47, 600, XNAS, 4.45, 100, BATS, 32497, 145209, 4.46838, 100, 1, 1000, 2, 0, 0, 0, 0, 1, 0
1635341680272, 4.41, 300, XPSX, 4.46, 600, XNAS, 4.45, 100, EDGA, 32597, 145654, 4.46832, 300, 1, 1200, 3, 0, 1, 0, 1, 0, 0
1635341680273, 4.41, 300, XPSX, 4.46, 600, XNAS, 4.45, 100, IEXG, 32697, 146099, 4.46827, 300, 1, 1200, 3, 0, 1, 0, 1, 0, 0
1635341680274, 4.41, 300, XPSX, 4.46, 600, XNAS, 4.45, 58, BATY, 32755, 146357, 4.46823, 300, 1, 1200, 3, 1, 0, 0, 1, 0, 0
1635341680274, 4.41, 300, XPSX, 4.46, 600, XNAS, 4.45, 20, EDGX, 32775, 146446, 4.46822, 300, 1, 1200, 3, 1, 0, 0, 1, 0, 0
1635341707118, 4.4, 700, XNAS, 4.45, 600, XNAS, 4.4499, 5, XADF, 32780, 146468, 4.46822, 1700, 4, 600, 1, 1, 1, 0, 1, 0, 0
1635341707418, 4.44, 2000, EDGX, 4.45, 600, XNAS, 4.45, 300, XNAS, 33080, 147803, 4.46805, 2000, 1, 600, 1, 0, 0, 0, 1, 0, 0
1635341707418, 4.44, 2000, EDGX, 4.45, 300, XNAS, 4.45, 100, XNAS, 33180, 148248, 4.468, 2000, 1, 300, 1, 0, 0, 0, 1, 0, 0
1635341707418, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.45, 100, XNAS, 33280, 148693, 4.46795, 2000, 1, 400, 1, 0, 1, 1, 0, 0, 0
1635341707418, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.45, 100, XNAS, 33380, 149138, 4.46789, 2000, 1, 400, 1, 0, 1, 1, 0, 0, 0
1635341707418, 4.44, 2000, EDGX, 4.45, 100, MEMX, 4.45, 100, MEMX, 33480, 149583, 4.46784, 2000, 1, 100, 1, 0, 0, 0, 1, 0, 0
1635341783818, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, IEXG, 33580, 150027, 4.46775, 3500, 7, 400, 1, 0, 0, 0, 0, 1, 0
1635341783818, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, IEXG, 33680, 150471, 4.46767, 3500, 7, 400, 1, 0, 0, 0, 0, 1, 0
1635341795003, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.4569, 100, XADF, 33780, 150917, 4.46764, 3300, 7, 400, 1, 0, 1, 0, 1, 0, 0
1635341807132, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.45, 62, XADF, 33842, 151193, 4.46761, 3300, 7, 400, 1, 1, 1, 1, 0, 0, 0
1635341807133, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, XADF, 33942, 151637, 4.46753, 3000, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807133, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 1300, XADF, 35242, 157409, 4.46651, 3000, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807134, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, XADF, 35342, 157853, 4.46644, 3000, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807134, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, XADF, 35442, 158297, 4.46636, 2800, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807134, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.45, 186, XADF, 35628, 159125, 4.46628, 2800, 5, 500, 2, 0, 1, 1, 0, 0, 0
1635341807134, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 100, XADF, 35728, 159569, 4.4662, 2800, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807134, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 1200, XADF, 36928, 164897, 4.46535, 2800, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807135, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 1400, XADF, 38328, 171113, 4.46443, 2800, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807135, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.44, 414, XADF, 38742, 172951, 4.46416, 2800, 5, 500, 2, 0, 1, 0, 0, 1, 0
1635341807135, 4.44, 2000, EDGX, 4.46, 400, BATS, 4.45, 100, XADF, 38842, 173396, 4.46413, 2800, 5, 500, 2, 0, 1, 1, 0, 0, 0
