Timestamp,Price,Size,Exchange,Type
2021-03-05 09:37:01.829,549.31,10,NSX,Bid
2021-03-05 09:44:02.773,617.55,86,NYSE,Ask
2021-03-05 09:46:03.523,623.32,45,NYSE,Bid
2021-03-05 09:50:03.901,666.21,6,NYSE,Bid
2021-03-05 09:54:04.102,621.63,59,NSX,Bid
2021-03-05 09:54:05.005,729.7,55,NYSE,Ask
2021-03-05 10:01:05.290,848.39,87,NYSE,Ask
2021-03-05 10:08:06.105,765.42,46,NASDAQ,Ask
2021-03-05 10:09:06.767,800.05,11,NYSE_ARCA,Bid
2021-03-05 10:09:07.695,694.52,84,CBOE,Ask
2021-03-05 10:14:08.178,808.5,88,NSX,Ask
2021-03-05 10:17:08.302,962.01,76,NYSE,Ask
2021-03-05 10:18:08.923,923.44,47,NSX,Bid
2021-03-05 10:26:09.384,985.62,48,NYSE,Bid
2021-03-05 10:35:10.383,910.42,11,NYSE,Bid
2021-03-05 10:43:10.952,998.19,99,CBOE,Ask
2021-03-05 10:43:11.061,1116.71,54,NSX,Bid
2021-03-05 10:47:11.474,1241.98,27,CBOE,Bid
2021-03-05 10:47:11.778,1354.34,55,NSX,Ask
2021-03-05 10:51:12.435,1100.61,51,NYSE,Ask
2021-03-05 10:53:12.997,893.9,39,NASDAQ,Bid
2021-03-05 10:55:13.441,833.06,81,NYSE_ARCA,Bid
2021-03-05 10:55:14.079,872.39,42,NYSE_ARCA,Ask
2021-03-05 10:59:14.342,785.32,65,NASDAQ,Ask
2021-03-05 11:03:14.477,734.61,48,NYSE,Bid
2021-03-05 11:03:15.077,709.79,98,CBOE,Ask
2021-03-05 11:05:15.357,778.11,40,NYSE,Bid
2021-03-05 11:10:15.985,701.33,72,NYSE,Bid
2021-03-05 11:16:16.923,700.4,6,NASDAQ,Bid
2021-03-05 11:21:17.919,602.11,21,NSX,Ask
2021-03-05 11:21:18.417,572.06,61,NYSE_ARCA,Ask
2021-03-05 11:27:19.196,615.24,50,CBOE,Ask
2021-03-05 11:33:19.769,557.92,7,NSX,Ask
2021-03-05 11:41:20.617,614.37,64,NYSE_ARCA,Bid
2021-03-05 11:42:21.365,560.46,24,NYSE,Ask
2021-03-05 11:45:22.071,616.04,13,NSX,Ask
2021-03-05 11:53:22.794,631.92,41,NYSE_ARCA,Ask
2021-03-05 11:57:22.874,730.72,76,NSX,Bid
2021-03-05 12:01:23.229,655.11,1,NASDAQ,Bid
2021-03-05 12:05:23.929,585.61,86,NYSE_ARCA,Bid
2021-03-05 12:13:24.840,552.13,60,NSX,Bid
2021-03-05 12:18:25.295,642.06,11,NYSE_ARCA,Bid
2021-03-05 12:27:25.788,550.87,64,CBOE,Ask
