Timestamp,Price,Size,Exchange,Type
2021-03-05 09:34:01.149,461.39,78,NYSE_ARCA,Ask
2021-03-05 09:36:01.646,380.44,86,NSX,Bid
2021-03-05 09:42:02.359,454.24,58,NYSE_ARCA,Ask
2021-03-05 09:44:02.991,408.65,45,NSX,Bid
2021-03-05 09:49:03.148,438.8,71,NASDAQ,Bid
2021-03-05 09:57:03.440,491.04,72,NSX,Ask
2021-03-05 10:03:04.332,410.62,23,NASDAQ,Bid
2021-03-05 10:07:05.327,433.93,37,NASDAQ,Ask
2021-03-05 10:11:05.388,473.09,24,CBOE,Ask
2021-03-05 10:15:05.961,491.54,98,NASDAQ,Bid
2021-03-05 10:22:06.610,502.86,47,CBOE,Ask
2021-03-05 10:22:07.289,430.83,43,NYSE_ARCA,Ask
2021-03-05 10:30:07.403,388.26,97,NASDAQ,Bid
2021-03-05 10:34:07.463,373.86,39,CBOE,Bid
2021-03-05 10:40:08.171,325.92,81,NSX,Bid
2021-03-05 10:40:09.051,359.8,98,NASDAQ,Bid
2021-03-05 10:41:09.072,359.36,85,CBOE,Ask
2021-03-05 10:50:09.174,396.68,35,CBOE,Ask
2021-03-05 10:51:09.367,391.21,10,NYSE_ARCA,Bid
2021-03-05 10:53:09.858,427.58,82,NASDAQ,Ask
2021-03-05 10:57:10.291,469.05,86,NYSE,Ask
2021-03-05 10:58:11.211,411.39,55,NASDAQ,Ask
2021-03-05 10:58:11.822,437.61,37,NYSE_ARCA,Ask
2021-03-05 11:07:12.429,514.64,85,NYSE,Ask
2021-03-05 11:14:13.206,534.81,16,NYSE_ARCA,Ask
2021-03-05 11:22:13.830,610.67,4,NYSE,Bid
2021-03-05 11:23:14.254,627.13,26,CBOE,Bid
2021-03-05 11:25:14.585,676.36,90,NYSE_ARCA,Bid
2021-03-05 11:31:15.062,754.79,81,CBOE,Ask
2021-03-05 11:37:15.179,854.51,69,NYSE_ARCA,Ask
2021-03-05 11:46:15.436,1020.39,9,NASDAQ,Bid
2021-03-05 11:53:15.759,1000.6,64,NSX,Bid
2021-03-05 11:55:16.507,889.47,31,CBOE,Bid
2021-03-05 12:00:17.261,986.38,70,NASDAQ,Ask
2021-03-05 12:03:18.050,1072.91,50,NYSE,Bid
