Timestamp,Price,Size,Exchange,Type
2021-03-05 09:35:01.973,318.56,54,NSX,Ask
2021-03-05 09:44:02.042,344.91,21,NYSE_ARCA,Ask
2021-03-05 09:44:02.381,361.36,99,NYSE,Bid
2021-03-05 09:47:02.620,301.09,46,NSX,Bid
2021-03-05 09:55:02.994,334.47,51,NYSE_ARCA,Bid
2021-03-05 09:58:03.321,270.98,54,NYSE_ARCA,Bid
2021-03-05 10:02:03.601,269.79,86,NYSE_ARCA,Ask
2021-03-05 10:02:03.921,277.59,51,CBOE,Ask
2021-03-05 10:06:04.252,275.49,3,NSX,Ask
2021-03-05 10:06:04.886,260.51,25,CBOE,Ask
2021-03-05 10:07:05.565,243.85,72,NSX,Ask
2021-03-05 10:14:06.401,230.07,19,NASDAQ,Ask
2021-03-05 10:19:07.321,233.06,98,NASDAQ,Ask
2021-03-05 10:22:07.571,191.38,40,NASDAQ,Ask
2021-03-05 10:24:07.942,217.88,100,NASDAQ,Bid
2021-03-05 10:32:08.911,240.57,11,NYSE,Bid
2021-03-05 10:39:08.942,233.77,60,NYSE_ARCA,Ask
2021-03-05 10:48:09.113,268.07,9,NSX,Bid
2021-03-05 10:56:10.042,277.13,81,NSX,Bid
2021-03-05 11:00:10.359,238.83,30,CBOE,Ask
2021-03-05 11:05:10.848,270.54,60,CBOE,Bid
2021-03-05 11:13:11.291,290.19,15,CBOE,Ask
2021-03-05 11:20:12.107,349.06,16,NASDAQ,Ask
2021-03-05 11:27:12.246,325.8,49,CBOE,Ask
2021-03-05 11:36:12.257,378.51,48,NSX,Ask
2021-03-05 11:41:12.304,423.78,57,NASDAQ,Bid
2021-03-05 11:42:12.719,458.24,66,NASDAQ,Ask
2021-03-05 11:46:12.857,436.14,21,NASDAQ,Bid
2021-03-05 11:47:13.831,362.77,35,NSX,Bid
2021-03-05 11:56:13.975,347.59,29,NYSE_ARCA,Ask
2021-03-05 11:57:14.237,343.4,88,NASDAQ,Bid
2021-03-05 12:06:15.193,375.73,94,NSX,Bid
2021-03-05 12:10:15.659,405.7,93,NYSE_ARCA,Bid
2021-03-05 12:11:16.243,437.39,2,NYSE,Ask
2021-03-05 12:13:17.065,380.94,92,CBOE,Bid
2021-03-05 12:22:18.021,316.7,22,CBOE,Ask
2021-03-05 12:26:18.066,297.63,16,NASDAQ,Bid
2021-03-05 12:29:18.248,285.46,35,NYSE_ARCA,Bid
2021-03-05 12:36:18.976,288.0,89,NSX,Bid
2021-03-05 12:39:19.037,246.96,55,NSX,Bid
2021-03-05 12:43:19.970,277.91,94,NYSE,Bid
2021-03-05 12:46:20.150,229.42,55,NSX,Ask
2021-03-05 12:51:21.127,262.81,33,CBOE,Ask
2021-03-05 12:56:21.402,261.0,13,NASDAQ,Ask
2021-03-05 13:03:21.802,271.44,18,NASDAQ,Bid
2021-03-05 13:04:21.825,295.79,67,NASDAQ,Bid
2021-03-05 13:13:22.101,246.44,18,CBOE,Ask
2021-03-05 13:22:22.899,261.65,95,NYSE_ARCA,Ask
2021-03-05 13:25:23.760,245.16,18,NASDAQ,Bid
2021-03-05 13:33:24.334,247.93,23,NYSE_ARCA,Bid
2021-03-05 13:36:24.631,262.89,14,CBOE,Bid
2021-03-05 13:42:25.291,260.09,61,NYSE,Bid
2021-03-05 13:50:26.069,247.26,81,NYSE_ARCA,Bid
2021-03-05 13:57:26.248,265.65,55,CBOE,Ask
2021-03-05 14:03:26.491,306.59,83,CBOE,Bid
2021-03-05 14:11:26.785,255.09,98,NYSE_ARCA,Ask
2021-03-05 14:20:26.998,265.51,40,CBOE,Bid
2021-03-05 14:26:27.847,299.11,26,NASDAQ,Bid
2021-03-05 14:28:27.903,243.58,1,NASDAQ,Ask
2021-03-05 14:35:28.331,234.33,85,NYSE_ARCA,Bid
2021-03-05 14:44:29.186,236.36,13,NSX,Bid
2021-03-05 14:47:29.456,272.17,40,NSX,Bid
2021-03-05 14:48:30.304,325.11,45,CBOE,Bid
2021-03-05 14:56:30.849,309.98,30,NYSE,Ask
2021-03-05 14:57:31.515,356.23,77,NSX,Ask
2021-03-05 15:05:32.442,316.84,3,NYSE_ARCA,Ask
2021-03-05 15:11:32.917,339.68,22,CBOE,Bid
2021-03-05 15:17:33.710,327.36,34,NASDAQ,Ask
2021-03-05 15:19:33.982,339.81,9,CBOE,Bid
2021-03-05 15:19:34.677,405.59,89,NYSE,Ask
2021-03-05 15:27:35.201,380.69,49,NYSE_ARCA,Ask
2021-03-05 15:34:35.721,402.36,49,NYSE_ARCA,Bid
2021-03-05 15:39:36.376,336.0,5,NSX,Ask
2021-03-05 15:42:36.891,331.08,7,NYSE_ARCA,Ask
2021-03-05 15:42:37.714,376.23,41,NYSE_ARCA,Bid
2021-03-05 15:51:38.075,406.83,21,NSX,Bid
2021-03-05 15:55:38.913,475.62,12,NYSE_ARCA,Ask
2021-03-05 15:58:39.139,526.26,35,NYSE_ARCA,Ask
2021-03-05 16:02:40.127,597.97,53,NASDAQ,Ask
2021-03-05 16:08:40.978,537.42,72,NYSE_ARCA,Ask
2021-03-05 16:14:41.781,485.13,87,CBOE,Bid
2021-03-05 16:16:42.372,561.47,10,CBOE,Ask
2021-03-05 16:20:43.272,596.71,38,NYSE_ARCA,Ask
2021-03-05 16:23:44.248,628.28,29,NYSE,Bid
2021-03-05 16:27:44.505,699.23,18,NASDAQ,Ask
2021-03-05 16:34:45.442,694.42,93,NYSE,Bid
2021-03-05 16:41:46.054,758.51,41,NSX,Bid
2021-03-05 16:45:46.193,752.0,45,NYSE_ARCA,Bid
2021-03-05 16:52:46.696,723.51,50,CBOE,Bid
2021-03-05 16:59:46.810,782.56,36,NYSE,Bid
2021-03-05 17:08:47.391,717.53,100,NSX,Bid
2021-03-05 17:08:48.136,742.2,8,NYSE_ARCA,Bid
2021-03-05 17:13:48.512,864.74,69,CBOE,Ask
2021-03-05 17:21:49.421,903.97,72,NYSE_ARCA,Bid
2021-03-05 17:22:49.441,914.17,98,NYSE_ARCA,Bid
2021-03-05 17:22:50.048,867.32,97,NYSE,Bid
2021-03-05 17:24:50.355,791.95,35,NYSE_ARCA,Ask
2021-03-05 17:26:51.090,687.52,92,CBOE,Ask
2021-03-05 17:26:51.601,782.56,14,NYSE_ARCA,Ask
2021-03-05 17:34:51.852,667.9,41,NYSE_ARCA,Ask
