Timestamp,Price,Size,Exchange,Type
2021-03-05 09:34:01.156,1153.98,8,NASDAQ,Bid
2021-03-05 09:34:01.172,1291.61,92,NASDAQ,Ask
2021-03-05 09:42:01.572,1336.47,73,NYSE,Ask
2021-03-05 09:44:02.220,1599.23,88,NSX,Bid
2021-03-05 09:46:02.515,1598.74,79,NYSE_ARCA,Ask
2021-03-05 09:55:03.006,1368.85,100,NASDAQ,Bid
2021-03-05 09:58:03.358,1375.68,40,NSX,Ask
2021-03-05 10:03:03.519,1606.16,53,NASDAQ,Ask
2021-03-05 10:07:04.335,1791.38,92,CBOE,Ask
2021-03-05 10:12:04.813,1666.69,21,NSX,Bid
2021-03-05 10:19:04.847,1411.32,5,NYSE,Ask
2021-03-05 10:26:05.626,1484.91,95,NYSE,Bid
2021-03-05 10:35:05.968,1342.75,81,CBOE,Ask
2021-03-05 10:38:06.930,1127.54,27,CBOE,Ask
2021-03-05 10:38:06.970,1236.79,57,CBOE,Ask
2021-03-05 10:40:07.138,1189.15,22,NSX,Bid
2021-03-05 10:46:08.034,1344.83,16,NYSE_ARCA,Bid
2021-03-05 10:48:08.213,1436.51,75,CBOE,Bid
2021-03-05 10:57:08.495,1608.23,3,CBOE,Ask
2021-03-05 10:59:08.755,1566.21,49,NYSE_ARCA,Bid
2021-03-05 11:02:09.151,1747.2,89,NSX,Ask
2021-03-05 11:05:09.417,1961.22,98,NSX,Bid
2021-03-05 11:06:09.440,1622.28,9,NYSE,Ask
2021-03-05 11:07:09.599,1923.59,59,NYSE_ARCA,Ask
2021-03-05 11:15:10.297,2181.14,72,NYSE_ARCA,Ask
2021-03-05 11:18:11.234,2154.97,62,CBOE,Bid
2021-03-05 11:20:11.414,2519.15,55,NASDAQ,Ask
2021-03-05 11:25:12.339,2095.15,64,NSX,Ask
2021-03-05 11:33:13.239,1956.67,55,NSX,Ask
2021-03-05 11:42:13.471,1898.85,44,CBOE,Ask
2021-03-05 11:43:13.962,2045.63,95,NSX,Ask
2021-03-05 11:44:14.521,2239.25,53,NSX,Bid
2021-03-05 11:45:15.091,2538.96,44,NYSE,Ask
2021-03-05 11:54:15.415,2702.25,13,NASDAQ,Bid
2021-03-05 11:57:16.089,2592.35,41,NASDAQ,Ask
2021-03-05 11:58:16.879,2332.7,67,NYSE_ARCA,Ask
2021-03-05 12:04:17.704,2349.99,12,NSX,Bid
2021-03-05 12:12:18.400,2782.52,89,NASDAQ,Bid
2021-03-05 12:13:18.438,2377.38,54,NASDAQ,Ask
2021-03-05 12:15:19.382,2547.76,16,NYSE_ARCA,Bid
2021-03-05 12:16:20.097,2577.2,92,CBOE,Ask
2021-03-05 12:17:20.146,2377.52,16,NSX,Bid
2021-03-05 12:25:20.338,2727.54,30,NSX,Bid
2021-03-05 12:29:20.765,3162.11,84,CBOE,Ask
2021-03-05 12:29:20.946,3718.75,56,NYSE,Bid
2021-03-05 12:32:21.772,3618.73,50,NSX,Ask
2021-03-05 12:38:21.934,3400.68,59,NASDAQ,Ask
2021-03-05 12:43:22.042,2798.78,35,NYSE_ARCA,Bid
2021-03-05 12:49:22.054,2867.63,30,NASDAQ,Ask
2021-03-05 12:51:22.441,2817.95,39,NSX,Ask
2021-03-05 12:56:22.466,2374.23,49,CBOE,Bid
2021-03-05 12:57:22.951,2519.47,75,CBOE,Bid
2021-03-05 12:58:23.944,2765.45,2,NYSE,Bid
