Timestamp,Price,Size,Exchange,Type
2021-03-05 09:30:01.618,587.03,63,NSX,Bid
2021-03-05 09:37:01.845,512.83,67,NYSE,Bid
2021-03-05 09:41:02.811,454.94,94,NSX,Bid
2021-03-05 09:43:02.982,519.91,66,NYSE_ARCA,Ask
2021-03-05 09:50:03.387,607.05,80,NYSE_ARCA,Bid
2021-03-05 09:55:03.987,553.65,70,NYSE_ARCA,Bid
2021-03-05 09:56:04.488,652.93,68,NASDAQ,Bid
2021-03-05 09:59:04.844,556.04,45,NSX,Ask
2021-03-05 10:03:05.252,538.9,87,NYSE,Bid
2021-03-05 10:12:06.079,627.29,4,NYSE_ARCA,Bid
2021-03-05 10:13:06.442,570.55,27,NYSE_ARCA,Bid
2021-03-05 10:16:06.948,534.88,87,NYSE_ARCA,Ask
2021-03-05 10:19:07.527,505.33,40,NYSE,Ask
2021-03-05 10:24:07.967,475.85,61,CBOE,Bid
2021-03-05 10:29:08.053,548.4,73,NASDAQ,Ask
2021-03-05 10:30:08.943,634.09,33,NASDAQ,Ask
2021-03-05 10:36:09.091,544.55,79,NYSE,Bid
2021-03-05 10:36:09.258,535.12,12,NYSE_ARCA,Bid
2021-03-05 10:45:09.725,541.82,85,CBOE,Ask
2021-03-05 10:48:10.227,438.42,88,NSX,Ask
2021-03-05 10:56:11.146,440.78,100,NASDAQ,Ask
2021-03-05 10:57:11.398,484.24,64,CBOE,Ask
2021-03-05 11:00:11.806,520.2,9,NYSE_ARCA,Ask
2021-03-05 11:00:12.651,429.9,71,NASDAQ,Ask
2021-03-05 11:08:13.599,404.85,42,NYSE,Bid
2021-03-05 11:10:14.397,346.5,10,NSX,Bid
2021-03-05 11:15:15.264,386.45,28,NYSE,Ask
2021-03-05 11:19:16.026,397.16,63,NSX,Ask
2021-03-05 11:23:16.119,364.45,28,NYSE,Bid
2021-03-05 11:27:16.494,399.78,91,NASDAQ,Ask
2021-03-05 11:32:17.114,365.93,14,CBOE,Bid
2021-03-05 11:35:17.755,295.65,92,NSX,Ask
